paper_key,outcome_idx,outcome_name,treatment,control,outcome_var,metric_type,effect,se,ci_lo,ci_hi,n,direction,outcome_type,notes
anderson_shah_kreminski_2024,2,Individual-level homogenization,ChatGPT,Oblique Strategies,Cosine sim to participant's own avg,cohens_d,0.12,,,,33,0,homogenization,"ns; t(32)=0.94, p=0.352"
anderson_shah_kreminski_2024,3,Sense of responsibility for ideas,ChatGPT,Oblique Strategies,% personal responsibility,cohens_d,0.67,,,,33,-1,other,"−15.5pp; t(32)=3.21, p=0.003"
anderson_shah_kreminski_2024,4,Fluency (idea count),ChatGPT,Oblique Strategies,Ideas per task,cohens_d,0.32,,,,33,1,idea_quantity,+1.07 ideas (~15%); p=0.044
anderson_shah_kreminski_2024,5,Flexibility (idea categories),ChatGPT,Oblique Strategies,Distinct idea categories,cohens_d,0.54,,,,33,1,diversity,~27% more; p=0.001
anderson_shah_kreminski_2024,6,Elaboration (word count),ChatGPT,Oblique Strategies,Stoplisted words per idea,cohens_d,0.48,,,,33,1,individual_creativity,CI excludes zero
anderson_shah_kreminski_2024,7,Originality (unique ideas),ChatGPT,Oblique Strategies,Ideas no other participant generated,cohens_d,0.26,,,,33,-1,individual_creativity,Directionally fewer unique; p=0.108
anderson_shah_kreminski_2024,8,Originality (5% threshold),ChatGPT,Oblique Strategies,Categories generated by <5%,cohens_d,0.02,,,,33,0,individual_creativity,ns
anderson_shah_kreminski_2024,9,Originality (weighted),ChatGPT,Oblique Strategies,Weighted flexibility score,cohens_d,0.26,,,,33,0,individual_creativity,ns
anderson_shah_kreminski_2024,10,Creativity Support Index,ChatGPT,Oblique Strategies,CSI overall %,cohens_d,0.24,,,,36,0,other,ns; self-report
moon_etal_2026,1,Elite Private — word diversity,Post-ChatGPT essays 2024-25,Pre-ChatGPT 2019-22,Word-level DSI (BERT-large),cohens_d,0.24,,0.23,0.26,71280,1,diversity,
moon_etal_2026,2,Elite Private — sentence diversity,Post-ChatGPT,Pre-ChatGPT,Mean pairwise sentence cosine distance (SBERT),cohens_d,-0.09,,-0.1,-0.07,71280,-1,homogenization,
moon_etal_2026,3,Elite Private — document distinctness,Post-ChatGPT,Pre-ChatGPT,Min pairwise document cosine distance,cohens_d,-0.15,,-0.17,-0.13,71280,-1,homogenization,
moon_etal_2026,4,Regional Private — word diversity,Post-ChatGPT 2024,Pre-ChatGPT 2020-22,Word-level DSI,cohens_d,0.15,,0.14,0.17,66380,1,diversity,
moon_etal_2026,5,Regional Private — sentence diversity,Post-ChatGPT,Pre-ChatGPT,Pairwise sentence distance,cohens_d,-0.18,,-0.2,-0.16,66380,-1,homogenization,
moon_etal_2026,6,Regional Private — document distinctness,Post-ChatGPT,Pre-ChatGPT,Min pairwise document distance,cohens_d,-0.08,,-0.09,-0.06,66380,-1,homogenization,
moon_etal_2026,7,Flagship Public — word diversity,Post-ChatGPT 2024-25,Pre-ChatGPT 2020-22,Word-level DSI,cohens_d,0.15,,0.14,0.16,154650,1,diversity,
moon_etal_2026,8,Flagship Public — sentence diversity,Post-ChatGPT,Pre-ChatGPT,Pairwise sentence distance,cohens_d,-0.15,,-0.16,-0.14,154650,-1,homogenization,
moon_etal_2026,9,Flagship Public — document distinctness,Post-ChatGPT,Pre-ChatGPT,Min pairwise doc distance,cohens_d,-0.09,,-0.1,-0.08,154650,-1,homogenization,
moon_etal_2026,10,Selective Liberal Arts — word diversity,Post-ChatGPT 2024-25,Pre-ChatGPT 2018-21,Word-level DSI,cohens_d,0.39,,0.36,0.42,21078,1,diversity,
moon_etal_2026,11,Selective LA — sentence diversity,Post-ChatGPT,Pre-ChatGPT,Pairwise sentence distance,cohens_d,-0.06,,-0.09,-0.03,21078,-1,homogenization,
moon_etal_2026,12,Selective LA — document distinctness,Post-ChatGPT,Pre-ChatGPT,Min pairwise doc distance,cohens_d,-0.07,,-0.1,-0.04,21078,-1,homogenization,
moon_etal_2026,13,Controlled Exp 3 — word (AI-revised),AI-revised essay (GPT-4.1),Original human essay,Word-level DSI (standardized),raw_mean,0.79,,0.64,0.94,203,1,diversity,Within-subject
moon_etal_2026,14,Controlled Exp 3 — word (AI-generated),AI-generated essay,Original human essay,Word-level DSI,raw_mean,0.65,,0.5,0.79,203,1,diversity,
moon_etal_2026,15,Controlled Exp 3 — sentence (AI-revised),AI-revised,Original,Sentence diversity (standardized),raw_mean,-0.47,,-0.62,-0.31,203,-1,homogenization,
moon_etal_2026,16,Controlled Exp 3 — sentence (AI-generated),AI-generated,Original,Sentence diversity,raw_mean,-0.5,,-0.66,-0.35,203,-1,homogenization,
moon_etal_2026,17,Controlled Exp 3 — document (AI-revised),AI-revised,Original,Document distinctness (standardized),raw_mean,-0.98,,-1.1,-0.85,203,-1,homogenization,
moon_etal_2026,18,Controlled Exp 3 — document (AI-generated),AI-generated,Original,Document distinctness,raw_mean,-1.52,,-1.64,-1.4,203,-1,homogenization,
moon_etal_2026,19,Word-doc decoupling (Exp 1),GPT-generated essays,Human essays,Correlation word-diversity × doc-distinctness,other,-0.39999999999999997,,,,3000,-1,other,GPT r=-0.28 vs Human r=+0.12
moon_etal_2026,20,Creativity rating (Elite Private),Post-ChatGPT,Pre-ChatGPT,Expert-tuned GPT-4.1-mini rating (standardized),raw_mean,0.19,,,,312388,1,individual_creativity,Range 0.19-0.30 across 4 unis; all p<0.001
moon_etal_2026,21,Pilot — word diversity,Post-ChatGPT 2024-25,Pre-ChatGPT 2019-22,Word-level DSI,cohens_d,0.26,,0.16,0.36,1800,1,diversity,
moon_etal_2026,22,Pilot — sentence diversity,Post-ChatGPT,Pre-ChatGPT,Sentence diversity,cohens_d,-0.13,,-0.23,-0.03,1800,-1,homogenization,
moon_etal_2026,23,Pilot — document distinctness,Post-ChatGPT,Pre-ChatGPT,Document distinctness,cohens_d,-0.24,,-0.35,-0.14,1800,-1,homogenization,
ashkinaze_etal_2025,1,"Global diversity (High AI, disclosed)","High AI exposure (4 AI/2 human), disclosed",Control (0 AI/6 human),Median pairwise cosine distance,other,0.31,,,,683,1,diversity,Cliff's δ; p=0.001
ashkinaze_etal_2025,2,"Global diversity (High AI, undisclosed)","High AI, undisclosed",Control,Median pairwise cosine distance,other,0.26,,,,683,1,diversity,Cliff's δ; p=0.001
ashkinaze_etal_2025,3,"Global diversity (Low AI, undisclosed)","Low AI (2 AI/4 human), undisclosed",Control,Median pairwise cosine distance,other,0.11,,,,683,1,diversity,Cliff's δ; p=0.001
ashkinaze_etal_2025,4,"Global diversity (Low AI, disclosed)","Low AI, disclosed",Control,Median pairwise cosine distance,other,,,,,683,0,diversity,ns after Holm-Bonferroni
ashkinaze_etal_2025,5,Diversity evolution (Control slope),Trial number (1-20),—,Within-condition trial slope on diversity,raw_mean,-0.39,,-0.73,-0.05,350,-1,diversity,Diversity declines over rounds in Control
ashkinaze_etal_2025,6,Diversity evolution (High undisclosed × trial),"High AI, undisclosed × trial",Control,Interaction coef on diversity slope,raw_mean,0.53,,0.06,0.99,350,1,diversity,
ashkinaze_etal_2025,7,Diversity evolution (High disclosed × trial),"High AI, disclosed × trial",Control,Interaction coef on diversity slope,raw_mean,0.57,,0.1,1.03,350,1,diversity,
ashkinaze_etal_2025,8,Individual creativity (main effect),All AI-exposure conditions,Control,Originality (Organisciak GPT-3 classifier),other,0,,,,3414,0,individual_creativity,"F(4,19.86)=0.12, p=0.97; null"
ashkinaze_etal_2025,9,AI adoption: low-creativity ppts (disclosure effect),"Bottom 10% self-perceived creativity, disclosed vs undisclosed contrast",Same contrast in high-creativity ppts,Max cosine similarity to AI examples,cohens_d,0.65,,,,2588,-1,homogenization,Low-creativity adopt AI more when undisclosed; p=0.03
meincke_mollick_terwiesch_2024,1,GPT-4 base vs Humans,GPT-4 base prompt,Wharton MBA students,Mean within-pool cosine similarity,pairwise_cosine,0.134,,,,,-1,homogenization,GPT-4 0.377 vs Human 0.243; p<0.01
meincke_mollick_terwiesch_2024,2,GPT-4 CoT vs Humans,GPT-4 Chain-of-Thought,Wharton MBA students,Mean within-pool cosine similarity,pairwise_cosine,0.01200000000000001,,,,,-1,homogenization,CoT 0.255 nearly matches Human 0.243
meincke_mollick_terwiesch_2024,3,GPT-4 CoT vs Base,GPT-4 Chain-of-Thought,GPT-4 base,Mean within-pool cosine similarity,pairwise_cosine,-0.122,,,,,1,diversity,CoT reduces similarity (more diverse); p<0.01
meincke_mollick_terwiesch_2024,4,Steve Jobs persona vs Base,Steve Jobs persona prompt,GPT-4 base,Cosine similarity,pairwise_cosine,-0.009000000000000008,,,,,1,diversity,
meincke_mollick_terwiesch_2024,5,Creative Entrepreneur vs Base,Creative Entrepreneur persona,GPT-4 base,Cosine similarity,pairwise_cosine,-0.029000000000000026,,,,,1,diversity,
meincke_mollick_terwiesch_2024,6,Cosine info vs Base,GPT-4 informed of own cosine sim,GPT-4 base,Cosine similarity,pairwise_cosine,0.05499999999999999,,,,,-1,homogenization,Made it worse
meincke_mollick_terwiesch_2024,7,Girotra baseline GPT-4 vs Humans,Girotra GPT-4 baseline,Wharton MBA students,Cosine similarity,pairwise_cosine,0.172,,,,,-1,homogenization,
meincke_mollick_terwiesch_2024,8,Unique-ideas pool size (CoT),GPT-4 CoT,GPT-4 base,Opportunity-space size (Kornish-Ulrich),other,1000,,,,,1,idea_quantity,4700 vs 3700 estimated unique ideas
meincke_mollick_terwiesch_2024,9,Repetition rate (CoT),GPT-4 CoT,GPT-4 base,Share repetitive ideas (cosine ≥0.8),other,-0.021000000000000005,,,,,1,diversity,
si_yang_hashimoto_2025,1,Novelty (Test 1),AI research ideas (Claude-3.5),Human expert ideas,Novelty (1-10),cohens_d,0.45,,,,228,1,individual_creativity,AI 5.64±1.76 vs Human 4.84±1.79; p<0.01
si_yang_hashimoto_2025,2,Novelty (AI+Human Rerank),AI ideas + human rerank,Human expert ideas,Novelty (1-10),cohens_d,0.56,,,,228,1,individual_creativity,5.81±1.66 vs 4.84±1.79; p<0.001
si_yang_hashimoto_2025,3,Excitement (Test 1),AI ideas,Human expert ideas,Excitement (1-10),cohens_d,0.35,,,,228,1,individual_creativity,5.19±1.73 vs 4.55±1.89; p=0.04
si_yang_hashimoto_2025,4,Excitement (AI+Rerank),AI + Rerank,Human,Excitement,cohens_d,0.49,,,,228,1,individual_creativity,p<0.01
si_yang_hashimoto_2025,5,Feasibility,AI ideas,Human ideas,Feasibility (1-10),cohens_d,-0.14,,,,228,-1,individual_creativity,6.34±1.88 vs 6.61±1.99; ns
si_yang_hashimoto_2025,6,Feasibility (AI+Rerank),AI+Rerank,Human,Feasibility,cohens_d,-0.09,,,,228,0,individual_creativity,ns
si_yang_hashimoto_2025,7,Expected Effectiveness,AI ideas,Human,Expected Effectiveness (1-10),cohens_d,0.2,,,,228,0,individual_creativity,ns; p=0.67
si_yang_hashimoto_2025,8,Expected Effectiveness (AI+Rerank),AI+Rerank,Human,Expected Effectiveness,cohens_d,0.26,,,,228,0,individual_creativity,ns
si_yang_hashimoto_2025,9,Overall Score,AI ideas,Human,Overall Score (1-10),cohens_d,0.09,,,,228,0,individual_creativity,ns
si_yang_hashimoto_2025,10,Overall Score (AI+Rerank),AI+Rerank,Human,Overall Score,cohens_d,0.36,,,,228,1,individual_creativity,p=0.04
si_yang_hashimoto_2025,11,"Novelty (Test 2, per-idea)",AI ideas,Human ideas,Novelty (per-idea avg),cohens_d,0.57,,,,98,1,individual_creativity,5.62±1.39 vs 4.86±1.26; p=0.03
si_yang_hashimoto_2025,12,"Novelty (Test 3, paired)",AI ideas,Human ideas,Within-reviewer paired novelty diff,raw_mean,0.94,,,,70,1,individual_creativity,p<0.001
si_yang_hashimoto_2025,13,LLM idea diversity (scaling),Claude-3.5 generating 4000 ideas,—,Non-duplicate ideas (cosine threshold 0.8),pairwise_cosine,,,,,,-1,homogenization,Only ~200 unique out of 4000 generated; plateau
liu_etal_2024,1,AUT Novelty (Day 1 baseline),"ChatGPT group, pre-AI",No-AI group,Novelty (AUT),raw_mean,1.2799999999999994,,,,61,0,individual_creativity,Baseline; ns
liu_etal_2024,2,"AUT Novelty (Day 6 with AI, peak)",ChatGPT group with AI,No-AI group,Novelty (AUT),raw_mean,25.04,,,,61,1,individual_creativity,"t=-4.84, p<0.001; d≈1.25 (from t)"
liu_etal_2024,3,AUT Novelty (Day 7 — AI REMOVED),Previously AI,Never AI,Novelty (AUT),raw_mean,4.58,,,,61,0,individual_creativity,"Persistence: reverts to baseline; t=-1.98, p=0.053"
liu_etal_2024,4,AUT Novelty (Day 30 follow-up),Previously AI,Never AI,Novelty (AUT),raw_mean,3.69,,,,61,1,individual_creativity,Small persistence; p=0.038
liu_etal_2024,5,AUT Usefulness (Day 7),Previously AI,Never AI,Usefulness (AUT),raw_mean,-0.54,,,,61,0,individual_creativity,ns
liu_etal_2024,6,Problem-solving creativity (Day 6 peak),ChatGPT with AI,No-AI,Creativity Task 2,raw_mean,1,,,,61,1,individual_creativity,"Control 2.53 vs GPT 3.53; t=-4.39, p<0.001"
liu_etal_2024,7,Problem-solving creativity (Day 7 — REMOVED),Previously AI,Never AI,Creativity Task 2,raw_mean,0.52,,,,61,0,individual_creativity,Reverts; ns
liu_etal_2024,8,SBERT homogeneity (Days 2-6 with AI),ChatGPT with AI,No-AI,Pairwise cosine similarity (AUT),pairwise_cosine,0.09999999999999998,,,,61,-1,homogenization,Day-by-day all p<0.01
liu_etal_2024,9,SBERT homogeneity (Day 7 — REMOVED),Previously AI,Never AI,Pairwise cosine (AUT),pairwise_cosine,0.02999999999999997,,,,61,-1,homogenization,Persistence borderline
liu_etal_2024,10,SBERT homogeneity (Day 30 — REMOVED),Previously AI,Never AI,Pairwise cosine (AUT),pairwise_cosine,0.06,,,,61,-1,homogenization,Persists; p≤0.001
liu_etal_2024,11,String redundancy (Days 2-6),ChatGPT with AI,No-AI,Count of repeated strings ≥2 chars,other,3.7,,,,61,-1,homogenization,Range 5.9-8.7 vs 3.1-3.4; p≤0.01
liu_etal_2024,12,String redundancy (Day 7 — REMOVED),Previously AI,Never AI,String redundancy,other,0.9800000000000004,,,,61,-1,homogenization,Persists
liu_etal_2024,13,String redundancy (Day 30 — REMOVED),Previously AI,Never AI,String redundancy,other,0.8899999999999999,,,,61,-1,homogenization,Persists; p≤0.001
liu_etal_2024,14,Task 2 SBERT homogeneity (Days 2-6),ChatGPT with AI,No-AI,Pairwise cosine (problem-solving),pairwise_cosine,0.13,,,,61,-1,homogenization,all p≤0.001
liu_etal_2024,15,Task 2 String redundancy (Days 2-6),ChatGPT with AI,No-AI,Repeated-string count (problem-solving),other,147,,,,61,-1,homogenization,Very large effect; p≤0.001
liu_etal_2024,16,Task 2 String redundancy (Day 7 — REMOVED),Previously AI,Never AI,String redundancy (Task 2),other,20.54,,,,61,-1,homogenization,Persists; p≤0.001
liu_etal_2024,17,Semantic density (Day 7+30),Previously AI,Never AI,UMAP-density SD / eigenvalues / ellipse area,other,,,,,61,-1,homogenization,GPT group consistently smaller; persists no p-values
moon_green_kushlev_2025,1,"Individual DSI (Study 1, Base GPT-4)",Base GPT-4 essays,Human essays,Divergent Semantic Integration,cohens_d,-1.38,,-10.76,-7.14,200,-1,individual_creativity,Cohen's d=1.38 favoring human; t(159.89)=9.75
moon_green_kushlev_2025,2,Diversity Growth Rate (S1),Base GPT-4,Human,DGR log-linear slope,other,-0.4,,-0.5,-0.29,200,-1,homogenization,Human b=0.58 vs GPT b=0.18; p<0.001
moon_green_kushlev_2025,3,"Individual DSI (S2, Base GPT-4)",Base GPT-4,Human,DSI,cohens_d,-0.74,,-6.34,-2.87,400,-1,individual_creativity,p_holm<0.001
moon_green_kushlev_2025,4,"Individual DSI (S2, Naive-prompted)",Naive-prompted GPT-4,Human,DSI,cohens_d,0,,-1.76,1.72,400,0,individual_creativity,No difference; p_holm=0.982
moon_green_kushlev_2025,5,"Individual DSI (S2, Parameter-modified)",Parameter-modified GPT-4 (presence/freq penalty=2),Human,DSI,cohens_d,2.66,,14.88,18.35,400,1,individual_creativity,"AI > human; t(396)=-18.81, p_holm<0.001"
moon_green_kushlev_2025,6,"DGR (S2, Base GPT-4)",Base GPT-4,Human,DGR slope,other,-0.43,,-0.58,-0.28,400,-1,homogenization,
moon_green_kushlev_2025,7,"DGR (S2, Naive-prompted)",Naive-prompted GPT-4,Human,DGR slope,other,-0.39,,-0.54,-0.24,400,-1,homogenization,
moon_green_kushlev_2025,8,"DGR (S2, Parameter-modified)",Parameter-modified GPT-4,Human,DGR slope,other,-0.25,,-0.4,-0.1,400,-1,homogenization,Higher individual diversity but still homogenizes collectively
moon_green_kushlev_2025,9,"Individual DSI (S3, Base GPT-4)",Base GPT-4 (n=400),Random human (n=400),DSI,cohens_d,-2.09,,-14.03,-12.13,1600,-1,individual_creativity,Largest individual effect; t(1596)=26.94
moon_green_kushlev_2025,10,"Individual DSI (S3, CoT-prompted)",CoT-prompted GPT-4,Human,DSI,cohens_d,-1.56,,-11.65,-9.75,800,-1,individual_creativity,
moon_green_kushlev_2025,11,CoT vs Base GPT-4 (S3),CoT-prompted GPT-4,Base GPT-4,DSI,cohens_d,0.35,,,,800,1,individual_creativity,CoT improves over base AI (within-AI)
moon_green_kushlev_2025,12,Base GPT-4 vs Diverse Human (S3),Base GPT-4,Racially/ethnically diverse human,DSI,cohens_d,-1.87,,-13.78,-11.88,800,-1,individual_creativity,
moon_green_kushlev_2025,13,CoT vs Diverse Human (S3),CoT-prompted GPT-4,Diverse human,DSI,cohens_d,-1.52,,-11.41,-9.5,800,-1,individual_creativity,
moon_green_kushlev_2025,14,"DGR (S3, Base GPT-4)",Base GPT-4,Random human,DGR slope,other,-0.54,,-0.69,-0.39,1600,-1,homogenization,Strongest DGR gap; GPT-4 ~11% of human
moon_green_kushlev_2025,15,"DGR (S3, CoT-prompted)",CoT-prompted GPT-4,Random human,DGR slope,other,-0.31,,-0.46,-0.16,1600,-1,homogenization,Human ~2x CoT
meincke_nave_terwiesch_2025,1,Unique fraction (Exp 1),ChatGPT-assisted brainstorming,Web-search-assisted,% unique idea concepts (cosine threshold 0.8),other,-0.21999999999999997,,,,,-1,diversity,ChatGPT 0.74 vs Web 0.96
meincke_nave_terwiesch_2025,2,"Unique fraction (Exp 2A, vs Web)",ChatGPT,Web search,% unique ideas,other,-0.22000000000000008,,,,,-1,diversity,
meincke_nave_terwiesch_2025,3,"Unique fraction (Exp 2A, vs Human)",ChatGPT,Human (unaided),% unique ideas,other,-0.21000000000000008,,,,,-1,diversity,
meincke_nave_terwiesch_2025,4,"Unique fraction (Exp 2B, ChatGPT-only)",ChatGPT-only,Human-only,% unique ideas,other,-0.94,,,,,-1,diversity,Most dramatic: 6% vs 100%
meincke_nave_terwiesch_2025,5,"Unique fraction (Exp 2B, ChatGPT+Human)",ChatGPT-human collaborative,Human-only,% unique ideas,other,-0.5900000000000001,,,,,-1,diversity,
meincke_nave_terwiesch_2025,6,Unique fraction (Exp 3),ChatGPT,Web search,% unique ideas,other,-0.12,,,,,-1,diversity,
meincke_nave_terwiesch_2025,7,"Unique fraction (Exp 4, low constraints)",ChatGPT low-constraints,Web search low-constraints,% unique ideas,other,-0.06000000000000005,,,,,-1,diversity,ns; ceiling
meincke_nave_terwiesch_2025,8,"Unique fraction (Exp 4, high constraints)",ChatGPT high-constraints,Web search high-constraints,% unique ideas,other,-0.05999999999999994,,,,,-1,diversity,ns; ceiling
meincke_nave_terwiesch_2025,9,"Unique fraction (Exp 5, base empathy)",ChatGPT empathy base,Web search empathy base,% unique ideas,other,-0.39,,,,,-1,diversity,
meincke_nave_terwiesch_2025,10,"Unique fraction (Exp 5, high empathy)",ChatGPT empathy high,Web search empathy high,% unique ideas,other,-0.35,,,,,-1,diversity,
meincke_nave_terwiesch_2025,11,Sprinkler-word concentration (Exp 2A),ChatGPT,Web search / Human,Count ideas with 'sprinkler' (of 96),raw_mean,13,,,,96,-1,homogenization,ChatGPT 20 vs Web 7 vs Human 12
meincke_nave_terwiesch_2025,12,Identical-name ideas (Exp 2B),ChatGPT-only,Human-only,Identical-name 'Build-a-Breeze Castle' count,raw_mean,9,,,,,-1,homogenization,9 identical vs 0 human
lee_chung_2024,1,"Creativity (Exp 1, lay judges)",ChatGPT-assisted,Web-search-assisted,"Creativity (6-item, originality + appropriateness)",cohens_d,0.49,,0.22,0.75,233,1,individual_creativity,ChatGPT 4.28±0.81 vs Web 3.89±0.80; p=2.87e-4
lee_chung_2024,2,"Creativity (Exp 1, expert judges)",ChatGPT,Web search,Creativity (expert),cohens_d,0.34,,0.08,0.61,233,1,individual_creativity,3.06±1.40 vs 2.65±0.98; p=0.010
lee_chung_2024,3,"Creativity (Exp 2A, vs Web)",ChatGPT,Web search,Creativity (lay),cohens_d,0.71,,0.42,1,291,1,individual_creativity,4.56±0.75 vs 3.98±0.94; p=1.16e-6
lee_chung_2024,4,"Creativity (Exp 2A, vs Human-only)",ChatGPT,Human-only,Creativity (lay),cohens_d,0.56,,0.27,0.85,291,1,individual_creativity,4.56 vs 4.11; p=1.45e-4
lee_chung_2024,5,"Creativity (Exp 2B, ChatGPT-assisted vs Human)",ChatGPT-assisted,Human-only,Creativity (lay),cohens_d,1.88,,1.56,2.2,300,1,individual_creativity,Largest effect; 4.84 vs 3.66
