paper_key,authors_short,year,title,venue,doi_or_url,design_class,theme,outcome_focus,stub,md_filename,n_outcomes_extracted,n_total,included_in_curated_subset
meincke_mollick_terwiesch_2024,"Meincke, Mollick & Terwiesch",2024,Prompting Diverse Ideas: Increasing AI Idea Variance,SSRN / arXiv,https://doi.org/10.2139/ssrn.4708466,RCT,Fixes / mechanisms,Prompt-induced idea variance,false,Meincke Mollick Terwiesch (2024) - Prompting Diverse Ideas.md,9,1100,true
liu_etal_2024,Liu et al.,2024,When ChatGPT is Gone: Creativity Reverts and Homogeneity Persists,arXiv:2401.06816,https://arxiv.org/abs/2401.06816,RCT,Fixes / mechanisms,Post-AI residual homogeneity,false,Liu et al (2024) - When ChatGPT is Gone Creativity Reverts and Homogeneity Persists.md,17,61,true
wenger_kenett_2025,Wenger & Kenett,2025,"We're Different, We're the Same: Creative Homogeneity Across LLMs",arXiv:2501.19361,https://arxiv.org/abs/2501.19361,Corpus,Cross-model / cross-modal,Cross-LLM convergence in creative output,false,Wenger and Kenett (2025) - Creative Homogeneity Across LLMs.md,0,,false
hintze_etal_2026,"Hintze, Proschinger Åström & Schossau",2026,Autonomous Language-Image Generation Loops Converge to Generic Visual Motifs,Patterns (Cell Press),https://doi.org/10.1016/j.patter.2025.101451,Corpus,Cross-model / cross-modal,Image-text loop convergence,true,Hintze Proschinger Schossau (2026) - Language-Image Generation Loops Converge to Generic Motifs.md,0,,false
liang_etal_2024,Liang et al.,2024,Monitoring AI-Modified Content at Scale: A Case Study on Peer Reviews,ICML 2024,https://arxiv.org/abs/2403.07183,Corpus,Academic & scientific writing,AI text fraction in peer reviews,false,Liang et al (2024) - Monitoring AI-Modified Content Peer Reviews.md,0,,false
kobak_etal_2024,Kobak et al.,2024,Delving into ChatGPT Usage in Academic Writing through Excess Vocabulary,arXiv:2406.07016,https://arxiv.org/abs/2406.07016,Corpus,Academic & scientific writing,Excess vocabulary signatures of AI use,false,Kobak et al (2024) - Delving into ChatGPT Excess Vocabulary.md,0,,false
si_yang_hashimoto_2025,"Si, Yang & Hashimoto",2025,Can LLMs Generate Novel Research Ideas?,ICLR 2025,https://arxiv.org/abs/2409.04109,RCT,Academic & scientific writing,Novelty of research ideas (LLM vs experts),false,Si Yang Hashimoto (2025) - Can LLMs Generate Novel Research Ideas.md,13,228,true
russell_etal_2025,Russell et al.,2025,"AI Use in American Newspapers is Widespread, Uneven, and Rarely Disclosed",arXiv:2510.18774,https://arxiv.org/abs/2510.18774,Corpus,Academic & scientific writing,AI text prevalence in published newspaper articles,false,Russell et al (2025) - AI Use in American Newspapers.md,0,,false
liu_wang_yang_2025,"Liu, Wang & Yang",2025,Generative AI and Content Homogenization: The Case of Digital Marketing,SSRN 5367123,https://doi.org/10.2139/ssrn.5367123,Corpus,Market consequences,Marketing content similarity post-LLM,true,Liu Wang Yang (2025) - GenAI and Content Homogenization Digital Marketing.md,0,,false
sourati_etal_2026,"Sourati, Ziabari & Dehghani",2026,The Homogenizing Effect of LLMs on Human Expression and Thought,Trends in Cognitive Sciences,https://doi.org/10.1016/j.tics.2026.01.003,Review,Synthesis / review,Linguistic homogenization (review),false,Sourati Ziabari Dehghani (2026) - Homogenizing Effect of LLMs on Human Expression.md,0,,false
