estimate_id,paper_key,authors,year,study_label,effect_size_sd,se,ci_lower,ci_upper,n_treatment,n_control,n_total,learning_domain,outcome,outcome_timing,treatment,control,comparison_type,estimand,estimation_method,outcome_with_ai,is_subgroup,subgroup,coding_notes,design_class,included_in_curated_subset,notes,country,population_category,lab_vs_field,study_design,ai_tool,ai_design,incentives,venue,study_sample_n,study_sample_unit,study_sample_review_status,study_recruited_n,study_randomized_n,estimate_analyzed_n,estimate_sample_unit,estimate_sample_review_status,source_document,source_url,source_version,source_locator,extraction_date,review_date,provenance_review_status,provenance_review_basis,derivation_notes,study_sample_review_basis,study_sample_notes,study_sample_missing_reasons,estimate_sample_review_basis,estimate_sample_notes,estimate_sample_missing_reasons,provenance_missing_reasons,release_id,release_date,view_url,selection
de_simone_etal_2025__est6,de_simone_etal_2025,"Martín De Simone, Federico Tiberti, Maria Barron Rodriguez, Federico Manolio, Wuraola Mosuro, Eliot Dikoru",2025,"De Simone et al., English",0.238,0.068,0.10471999999999998,0.37128,,,654,Language,English skills score,immediate,AI tutoring sessions (Microsoft Copilot/GPT-4),Business-as-usual classroom instruction,ai_vs_bau,ITT,"ANCOVA (OLS, baseline control + school FE)",false,false,,,field_rct,true,Main outcome. Equivalent to 1.5 years of business-as-usual schooling. Regression N=654 (Table 3); 759 completers.,Nigeria,High school,Field,RCT,Microsoft Copilot (GPT-4),tutoring,None (voluntary; ungraded research assessment),Working paper,759,unknown,unreviewed,,,654,unknown,unreviewed,De Simone et al (2025) - From Chalkboards to Chatbots.pdf,,,,,,unreviewed,,Main outcome. Equivalent to 1.5 years of business-as-usual schooling. Regression N=654 (Table 3); 759 completers.,,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
de_simone_etal_2025__est7,de_simone_etal_2025,"Martín De Simone, Federico Tiberti, Maria Barron Rodriguez, Federico Manolio, Wuraola Mosuro, Eliot Dikoru",2025,"De Simone et al., third-term exam",0.206,0.067,0.07468,0.33731999999999995,,,636,Language,Third-term exam score (broader curriculum),immediate,AI tutoring sessions (Microsoft Copilot/GPT-4),Business-as-usual classroom instruction,ai_vs_bau,ITT,"ANCOVA (OLS, baseline control + school FE)",false,false,,,field_rct,true,"Broader-curriculum school exam taken the day after sessions ended (Table 14) - transfer, not delayed retention. Regression N=636 (Table 2).",Nigeria,High school,Field,RCT,Microsoft Copilot (GPT-4),tutoring,None (voluntary; ungraded research assessment),Working paper,759,unknown,unreviewed,,,636,unknown,unreviewed,De Simone et al (2025) - From Chalkboards to Chatbots.pdf,,,,,,unreviewed,,"Broader-curriculum school exam taken the day after sessions ended (Table 14) - transfer, not delayed retention. Regression N=636 (Table 2).",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
fan_etal_2025__est8,fan_etal_2025,"Yizhou Fan, Luzhen Tang, Huixiao Le, Kejie Shen, Shufang Tan, Yueying Zhao, Yuan Shen, Xinyu Li, Dragan Gašević",2024,"Fan et al., Essay score improvement (post-revision m",0.73,0.265,0.2106,1.2494,35,27,62,Writing,Essay score improvement (post-revision minus pre-revision),immediate,ChatGPT 4.0 support during essay revision,No additional support (CN group),ai_vs_bau,ATE,ANOVA + Tukey HSD (mean comparison),true,false,,,lab_rct,false,Four-arm RCT. AI restricted to task-relevant conversations. ESL writing task. Tukey HSD adjusted.,China,University (mixed),Lab,RCT,ChatGPT 4.0,with guardrails,None (no performance-based incentive; compensation not reported),British Journal of Educational Technology,117,unknown,unreviewed,,,62,unknown,unreviewed,Fan et al (2024) - BJET - Metacognitive Laziness.pdf,,,,,,unreviewed,,Four-arm RCT. AI restricted to task-relevant conversations. ESL writing task. Tukey HSD adjusted.,,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
fan_etal_2025__est9,fan_etal_2025,"Yizhou Fan, Luzhen Tang, Huixiao Le, Kejie Shen, Shufang Tan, Yueying Zhao, Yuan Shen, Xinyu Li, Dragan Gašević",2024,"Fan et al., Knowledge gain (pre-post test on AI in e",-0.05,0.265,-0.5694,0.4694,33,25,58,Writing,Knowledge gain (pre-post test on AI in education),immediate,ChatGPT 4.0 support during essay revision,No additional support (CN group),ai_vs_bau,ATE,ANOVA + Tukey HSD (mean comparison),false,false,,,lab_rct,false,"Post-test within one day. Not significant. Taken within one day of the task (single session), so coded immediate per the atlas convention. [2026-07 W. Erda verification]",China,University (mixed),Lab,RCT,ChatGPT 4.0,with guardrails,None (no performance-based incentive; compensation not reported),British Journal of Educational Technology,117,unknown,unreviewed,,,58,unknown,unreviewed,Fan et al (2024) - BJET - Metacognitive Laziness.pdf,,,,,,unreviewed,,"Post-test within one day. Not significant. Taken within one day of the task (single session), so coded immediate per the atlas convention. [2026-07 W. Erda verification]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
hausman_etal_2025__est10,hausman_etal_2025,"Naomi Hausman, Oren Rigbi, Sarit Weisburd",2025,"Hausman et al., Grade in advanced AI-compatible courses",,,,,,,22806,Mixed,Grade in advanced AI-compatible courses,delayed,Students who began in 2022-23 (ChatGPT available) with AI-compatible intro courses,Students who began in 2021-22 (no ChatGPT) with AI-compatible intro courses,ai_vs_bau,ITT,difference-in-differences,false,false,,not RCT; no SD effect,observational,false,"Effect of early AI exposure on subsequent advanced course performance. Raw effect: +0.928 grade points (0-100 scale), SE 0.229 (Table 5 col. 3). Not in SD units.",Israel,University (mixed),Field,"Quasi-experimental (DiD, cohort comparison)",ChatGPT (unrestricted access),Unrestricted,Course grade,CEPR DP 20206 / CESifo WP 11843,36000,unknown,unreviewed,,,22806,unknown,unreviewed,Hausman et al (2025) - CESifo - GenAI Impact on Student Achievement.pdf,,,,,,unreviewed,,"Effect of early AI exposure on subsequent advanced course performance. Raw effect: +0.928 grade points (0-100 scale), SE 0.229 (Table 5 col. 3). Not in SD units.",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
hausman_etal_2025__est11,hausman_etal_2025,"Naomi Hausman, Oren Rigbi, Sarit Weisburd",2025,"Hausman et al., Course grade (0-100 scale), Year 2",,,,,130739,184597,500611,Mixed,"Course grade (0-100 scale), Year 2",immediate,AI-compatible courses after ChatGPT rollout (2023-24),AI-incompatible courses,ai_vs_bau,ITT,difference-in-differences,false,false,,not RCT; no SD effect,observational,false,"Year 2 after rollout; effect larger than Year 1. ~80% AI adoption in 2023-24. Raw effect: +1.484 grade points (0-100 scale), SE 0.406 (Table 2). Not in SD units. n_total is the course-enrollment observation count of the full regression sample; arm Ns come from a narrower specification and do not sum to n_total by design. [Codex audit note, 2026-07]",Israel,University (mixed),Field,"Quasi-experimental (DiD, cohort comparison)",ChatGPT (unrestricted access),Unrestricted,Course grade,CEPR DP 20206 / CESifo WP 11843,36000,unknown,unreviewed,,,500611,unknown,unreviewed,Hausman et al (2025) - CESifo - GenAI Impact on Student Achievement.pdf,,,,,,unreviewed,,"Year 2 after rollout; effect larger than Year 1. ~80% AI adoption in 2023-24. Raw effect: +1.484 grade points (0-100 scale), SE 0.406 (Table 2). Not in SD units. n_total is the course-enrollment observation count of the full regression sample; arm Ns come from a narrower specification and do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
hausman_etal_2025__est12,hausman_etal_2025,"Naomi Hausman, Oren Rigbi, Sarit Weisburd",2025,"Hausman et al., Course grade (0-100 scale), Year 1",,,,,130739,184597,500611,Mixed,"Course grade (0-100 scale), Year 1",immediate,AI-compatible courses (<=60% grade from AI-incompatible work) after ChatGPT rollout (2022-23),AI-incompatible courses (>=90% grade from in-class exams/lab work),ai_vs_bau,ITT,difference-in-differences,false,false,,not RCT; no SD effect,observational,false,"ITT effect (AI availability, not use). Student FE + semester FE + course controls. ~30% AI adoption in 2022-23. Raw effect: +0.970 grade points (0-100 scale), SE 0.289 (Table 2). Not in SD units. n_total is the course-enrollment observation count of the full regression sample; arm Ns come from a narrower specification and do not sum to n_total by design. [Codex audit note, 2026-07]",Israel,University (mixed),Field,"Quasi-experimental (DiD, cohort comparison)",ChatGPT (unrestricted access),Unrestricted,Course grade,CEPR DP 20206 / CESifo WP 11843,36000,unknown,unreviewed,,,500611,unknown,unreviewed,Hausman et al (2025) - CESifo - GenAI Impact on Student Achievement.pdf,,,,,,unreviewed,,"ITT effect (AI availability, not use). Student FE + semester FE + course controls. ~30% AI adoption in 2022-23. Raw effect: +0.970 grade points (0-100 scale), SE 0.289 (Table 2). Not in SD units. n_total is the course-enrollment observation count of the full regression sample; arm Ns come from a narrower specification and do not sum to n_total by design. [Codex audit note, 2026-07]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
hausman_etal_2025__est13,hausman_etal_2025,"Naomi Hausman, Oren Rigbi, Sarit Weisburd",2025,"Hausman et al., 25th percentile grade",,,,,,,10076,Mixed,25th percentile grade,immediate,AI-compatible courses post-ChatGPT (2022-2023),AI-incompatible courses (DID),ai_vs_bau,ITT,difference-in-differences,false,false,,not RCT; no SD effect,observational,false,"Course-semester level. Largest effects for weakest students. Raw effect: +3.014 grade points at the 25th percentile (0-100 scale), SE 0.933 (Table 4). Not in SD units.",Israel,University (mixed),Field,"Quasi-experimental (DiD, cohort comparison)",ChatGPT (unrestricted access),Unrestricted,Course grade,CEPR DP 20206 / CESifo WP 11843,36000,unknown,unreviewed,,,10076,unknown,unreviewed,Hausman et al (2025) - CESifo - GenAI Impact on Student Achievement.pdf,,,,,,unreviewed,,"Course-semester level. Largest effects for weakest students. Raw effect: +3.014 grade points at the 25th percentile (0-100 scale), SE 0.933 (Table 4). Not in SD units.",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
henkel_etal_2024__est15,henkel_etal_2024,"Owen Henkel, Hannah Horne-Robinson, Nessie Kozhakhmetova, Amanda Lee",2024,"Henkel et al., Math growth score (endline - baseline, 3",0.36,0.092,0.17968,0.5403199999999999,236,241,477,Math,"Math growth score (endline - baseline, 35-item test)",immediate,"Rori AI math tutor (2x30min/week, Feb-Aug 2023)",Regular math instruction only,ai_vs_bau,ATE (complete-case),t-test (mean comparison) on growth scores,false,false,,,field_rct,false,"School-level randomization (5 treatment, 6 control). d=0.36 Morris pooled SD. Cost ~$5/student. d=0.36 is the paper: Morris d with SD pooled across both conditions AND time points (stated in abstract, sec 4.1, and conclusion). Textbook Morris (pretest-SD-only) would give 0.343; change-score-SD standardization would give 0.451. We keep the paper-reported 0.36. [2026-07 W. Erda verification]",Ghana,Middle school,Field,RCT,Rori (WhatsApp-based AI math tutor),tutoring,None,Working paper,477,unknown,unreviewed,,,477,unknown,unreviewed,Henkel et al (2024) - AI Math Tutor Ghana.pdf,,,,,,unreviewed,,"School-level randomization (5 treatment, 6 control). d=0.36 Morris pooled SD. Cost ~$5/student. d=0.36 is the paper: Morris d with SD pooled across both conditions AND time points (stated in abstract, sec 4.1, and conclusion). Textbook Morris (pretest-SD-only) would give 0.343; change-score-SD standardization would give 0.451. We keep the paper-reported 0.36. [2026-07 W. Erda verification]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
kalam_etal_2025__est16,kalam_etal_2025,"Kazi A. Kalam, Fadi D. Masoud, Adam Muntaser, Raghav Ranga, Xue Geng, Munish Goyal",2025,"Kalam et al., Initial quiz score (10-item MCQ, with re",2.48,0.581,1.34124,3.61876,10,11,21,Science,"Initial quiz score (10-item MCQ, with resources)",immediate,ChatGPT-4.0,"Institutional resources (lectures, textbooks)",ai_vs_bau,ATE,one-way ANOVA + Tukey HSD,true,false,,N = 21 in this contrast (33 across three arms); SE back-calculated from d and arm Ns; non-standard outcome,field_rct,false,Quiz WITH assigned resources in hand (ChatGPT arm could query ChatGPT during the proctored quiz). Very small sample. Scores: 9.60 vs 6.64; df-weighted pooled-SD Cohen's d.,USA,Graduate,Field,RCT,ChatGPT-4.0,Unrestricted,"None (gift-card drawing for participation, not performance)","Cureus, 17(6):e85767",21,unknown,unreviewed,,,21,unknown,unreviewed,Kalam et al (2025) - Cureus - ChatGPT as Learning Tool Medical Students.pdf,,,,,,unreviewed,,Quiz WITH assigned resources in hand (ChatGPT arm could query ChatGPT during the proctored quiz). Very small sample. Scores: 9.60 vs 6.64; df-weighted pooled-SD Cohen's d.,,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
kalam_etal_2025__est17,kalam_etal_2025,"Kazi A. Kalam, Fadi D. Masoud, Adam Muntaser, Raghav Ranga, Xue Geng, Munish Goyal",2025,"Kalam et al., Retention quiz (10-item MCQ, no resource",0.93,0.46,0.02839999999999998,1.8316000000000001,10,11,21,Science,"Retention quiz (10-item MCQ, no resources, 1 week later)",delayed,ChatGPT-4.0,"Institutional resources (lectures, textbooks)",ai_vs_bau,ATE,one-way ANOVA + Tukey HSD,false,false,,N = 21 in this contrast (33 across three arms); SE back-calculated from d and arm Ns; non-standard outcome,field_rct,false,"Not significant (ANOVA p=0.118). Underpowered (43% power). Scores: 6.20 vs 4.36. SE(d)=0.4600 back-calculated from d=0.93 and n=10/11 (2026-07 W. Erda verification). n_total=21 is the two-arm contrast (Group A ChatGPT 10 vs Group C 11); the full three-arm study enrolled 33 (Group B, N=12, not part of this contrast). [Codex audit fix, 2026-07]",USA,Graduate,Field,RCT,ChatGPT-4.0,Unrestricted,"None (gift-card drawing for participation, not performance)","Cureus, 17(6):e85767",21,unknown,unreviewed,,,21,unknown,unreviewed,Kalam et al (2025) - Cureus - ChatGPT as Learning Tool Medical Students.pdf,,,,,,unreviewed,,"Not significant (ANOVA p=0.118). Underpowered (43% power). Scores: 6.20 vs 4.36. SE(d)=0.4600 back-calculated from d=0.93 and n=10/11 (2026-07 W. Erda verification). n_total=21 is the two-arm contrast (Group A ChatGPT 10 vs Group C 11); the full three-arm study enrolled 33 (Group B, N=12, not part of this contrast). [Codex audit fix, 2026-07]",,,{},,,{},{},2026-09-23.1,2026-09-23,,"{""scope"":""full"",""dataset"":""learning""}"
