estimate_id,paper_key,study_label,effect_size_sd,se,ci_lower,ci_upper,learning_domain,outcome,outcome_timing,n_treatment,n_control,n_total,treatment,control,notes,included_in_curated_subset,coding_notes,is_own_paper,comparison_type,outcome_with_ai,is_subgroup,subgroup,estimation_method,estimand,design_class
de_simone_etal_2025__est6,de_simone_etal_2025,"De Simone et al., English",0.238,0.068,,,Language,English skills score,immediate,,,654,AI tutoring sessions (Microsoft Copilot/GPT-4),Business-as-usual classroom instruction,Main outcome. Equivalent to 1.5 years of business-as-usual schooling. Regression N=654 (Table 3); 759 completers.,true,,false,ai_vs_bau,false,false,,"ANCOVA (OLS, baseline control + school FE)",ITT,field_rct
de_simone_etal_2025__est7,de_simone_etal_2025,"De Simone et al., third-term exam",0.206,0.067,,,Language,Third-term exam score (broader curriculum),immediate,,,636,AI tutoring sessions (Microsoft Copilot/GPT-4),Business-as-usual classroom instruction,"Broader-curriculum school exam taken the day after sessions ended (Table 14) - transfer, not delayed retention. Regression N=636 (Table 2).",true,,false,ai_vs_bau,false,false,,"ANCOVA (OLS, baseline control + school FE)",ITT,field_rct
fan_etal_2025__est8,fan_etal_2025,"Fan et al., Essay score improvement (post-revision m",0.73,0.265,,,Writing,Essay score improvement (post-revision minus pre-revision),immediate,35,27,62,ChatGPT 4.0 support during essay revision,No additional support (CN group),Four-arm RCT. AI restricted to task-relevant conversations. ESL writing task. Tukey HSD adjusted.,false,,false,ai_vs_bau,true,false,,ANOVA + Tukey HSD (mean comparison),ATE,lab_rct
fan_etal_2025__est9,fan_etal_2025,"Fan et al., Knowledge gain (pre-post test on AI in e",-0.05,0.265,,,Writing,Knowledge gain (pre-post test on AI in education),immediate,33,25,58,ChatGPT 4.0 support during essay revision,No additional support (CN group),"Post-test within one day. Not significant. Taken within one day of the task (single session), so coded immediate per the atlas convention. [2026-07 W. Erda verification]",false,,false,ai_vs_bau,false,false,,ANOVA + Tukey HSD (mean comparison),ATE,lab_rct
hausman_etal_2025__est10,hausman_etal_2025,"Hausman et al., Grade in advanced AI-compatible courses",,,,,Mixed,Grade in advanced AI-compatible courses,delayed,,,22806,Students who began in 2022-23 (ChatGPT available) with AI-compatible intro courses,Students who began in 2021-22 (no ChatGPT) with AI-compatible intro courses,"Effect of early AI exposure on subsequent advanced course performance. Raw effect: +0.928 grade points (0-100 scale), SE 0.229 (Table 5 col. 3). Not in SD units.",false,not RCT; no SD effect,false,ai_vs_bau,false,false,,difference-in-differences,ITT,observational
hausman_etal_2025__est11,hausman_etal_2025,"Hausman et al., Course grade (0-100 scale), Year 2",,,,,Mixed,"Course grade (0-100 scale), Year 2",immediate,130739,184597,500611,AI-compatible courses after ChatGPT rollout (2023-24),AI-incompatible courses,"Year 2 after rollout; effect larger than Year 1. ~80% AI adoption in 2023-24. Raw effect: +1.484 grade points (0-100 scale), SE 0.406 (Table 2). Not in SD units. n_total is the course-enrollment observation count of the full regression sample; arm Ns come from a narrower specification and do not sum to n_total by design. [Codex audit note, 2026-07]",false,not RCT; no SD effect,false,ai_vs_bau,false,false,,difference-in-differences,ITT,observational
hausman_etal_2025__est12,hausman_etal_2025,"Hausman et al., Course grade (0-100 scale), Year 1",,,,,Mixed,"Course grade (0-100 scale), Year 1",immediate,130739,184597,500611,AI-compatible courses (<=60% grade from AI-incompatible work) after ChatGPT rollout (2022-23),AI-incompatible courses (>=90% grade from in-class exams/lab work),"ITT effect (AI availability, not use). Student FE + semester FE + course controls. ~30% AI adoption in 2022-23. Raw effect: +0.970 grade points (0-100 scale), SE 0.289 (Table 2). Not in SD units. n_total is the course-enrollment observation count of the full regression sample; arm Ns come from a narrower specification and do not sum to n_total by design. [Codex audit note, 2026-07]",false,not RCT; no SD effect,false,ai_vs_bau,false,false,,difference-in-differences,ITT,observational
hausman_etal_2025__est13,hausman_etal_2025,"Hausman et al., 25th percentile grade",,,,,Mixed,25th percentile grade,immediate,,,10076,AI-compatible courses post-ChatGPT (2022-2023),AI-incompatible courses (DID),"Course-semester level. Largest effects for weakest students. Raw effect: +3.014 grade points at the 25th percentile (0-100 scale), SE 0.933 (Table 4). Not in SD units.",false,not RCT; no SD effect,false,ai_vs_bau,false,false,,difference-in-differences,ITT,observational
henkel_etal_2024__est15,henkel_etal_2024,"Henkel et al., Math growth score (endline - baseline, 3",0.36,0.092,,,Math,"Math growth score (endline - baseline, 35-item test)",immediate,236,241,477,"Rori AI math tutor (2x30min/week, Feb-Aug 2023)",Regular math instruction only,"School-level randomization (5 treatment, 6 control). d=0.36 Morris pooled SD. Cost ~$5/student. d=0.36 is the paper: Morris d with SD pooled across both conditions AND time points (stated in abstract, sec 4.1, and conclusion). Textbook Morris (pretest-SD-only) would give 0.343; change-score-SD standardization would give 0.451. We keep the paper-reported 0.36. [2026-07 W. Erda verification]",false,,false,ai_vs_bau,false,false,,t-test (mean comparison) on growth scores,ATE (complete-case),field_rct
kalam_etal_2025__est16,kalam_etal_2025,"Kalam et al., Initial quiz score (10-item MCQ, with re",2.48,0.581,,,Science,"Initial quiz score (10-item MCQ, with resources)",immediate,10,11,21,ChatGPT-4.0,"Institutional resources (lectures, textbooks)",Quiz WITH assigned resources in hand (ChatGPT arm could query ChatGPT during the proctored quiz). Very small sample. Scores: 9.60 vs 6.64; df-weighted pooled-SD Cohen's d.,false,N = 21 in this contrast (33 across three arms); SE back-calculated from d and arm Ns; non-standard outcome,false,ai_vs_bau,true,false,,one-way ANOVA + Tukey HSD,ATE,field_rct
kalam_etal_2025__est17,kalam_etal_2025,"Kalam et al., Retention quiz (10-item MCQ, no resource",0.93,0.46,,,Science,"Retention quiz (10-item MCQ, no resources, 1 week later)",delayed,10,11,21,ChatGPT-4.0,"Institutional resources (lectures, textbooks)","Not significant (ANOVA p=0.118). Underpowered (43% power). Scores: 6.20 vs 4.36. SE(d)=0.4600 back-calculated from d=0.93 and n=10/11 (2026-07 W. Erda verification). n_total=21 is the two-arm contrast (Group A ChatGPT 10 vs Group C 11); the full three-arm study enrolled 33 (Group B, N=12, not part of this contrast). [Codex audit fix, 2026-07]",false,N = 21 in this contrast (33 across three arms); SE back-calculated from d and arm Ns; non-standard outcome,false,ai_vs_bau,false,false,,one-way ANOVA + Tukey HSD,ATE,field_rct
kazemitabaar_etal_2023__est18,kazemitabaar_etal_2023,"Kazemitabaar et al., Authoring task correctness (training pha",1.67,0.281,1.119,2.221,Coding,"Authoring task correctness (training phase, with AI)",immediate,33,36,69,Codex AI code generator access during training,No AI code generator (baseline),During training WITH AI access. t(67)=6.92.,false,non-standard outcome; SE back-calculated from N and Cohen's d,false,ai_vs_bau,true,false,,t-test (mean comparison),ATE (complete-case),online_rct
kazemitabaar_etal_2023__est19,kazemitabaar_etal_2023,"Kazemitabaar et al., post-test",-0.05,0.241,-0.522,0.422,Coding,"Authoring task correctness (immediate post-test, no AI)",immediate,33,36,69,Codex AI code generator access during training,No AI code generator (baseline),"Post-test 1 day after training; no AI access. Baseline group scored slightly higher (62.9% vs 61.3%), so the sign is negative under the positive-favors-AI convention. Not significant (p=.838).",true,SE back-calculated from N and Cohen's d,false,ai_vs_bau,false,false,,t-test (mean comparison),ATE (complete-case),online_rct
kazemitabaar_etal_2023__est20,kazemitabaar_etal_2023,"Kazemitabaar et al., retention",0.41,0.244,-0.067,0.887,Coding,"Modifying task correctness (1-week retention, no AI)",delayed,33,36,69,Codex AI code generator access during training,No AI code generator (baseline),Retention test 1 week after training; no AI. Marginally significant.,true,SE back-calculated from N and Cohen's d,false,ai_vs_bau,false,false,,t-test (mean comparison),ATE (complete-case),online_rct
kestin_etal_2025__est21,kestin_etal_2025,"Kestin et al., Post-test score (physics content mastery",0.63,,,,Science,Post-test score (physics content mastery),immediate,142,174,194,AI tutor (GPT-4 with pedagogical prompts and scaffolding),"In-class active learning (peer instruction, group work)",Crossover design. OLS effect size 0.63 SD is underestimate due to ceiling effect; quantile regression gives 0.73-1.3 SD. AI group median time 49 min vs 60 min in-class. Mann-Whitney z=-5.6.,false,no SE/CI; active control,false,ai_vs_active,false,false,,"OLS (linear regression, clustered SE)",ATE,field_rct
kestin_etal_2025__est22,kestin_etal_2025,"Kestin et al., Post-test score (quantile regression, av",1,,,,Science,"Post-test score (quantile regression, avoids ceiling effect)",immediate,142,174,194,AI tutor (GPT-4 with pedagogical prompts and scaffolding),"In-class active learning (peer instruction, group work)",Preferred estimate: quantile-regression effect-size RANGE 0.73-1.3 SD (not a confidence interval; the paper reports no SE/CI for it). Midpoint ~1.0 shown as the point value. Avoids ceiling effect in the post-test.,false,active control,false,ai_vs_active,false,false,,quantile (median) regression,ATE,field_rct
kim_etal_2025__est23,kim_etal_2025,"Kim et al., Problems solved per day (log)",,,,,Math,Problems solved per day (log),immediate,12435,6469,18904,Post-solution AI tutor (GenAI activated after answer submission),Baseline digital practice (correctness feedback + static solution),"DiD exploiting staggered rollout. Student and date FEs. 2.1M student-day obs. Raw effect: +0.3057 log points (SE 0.0103, p<0.01) = ~35.8% more problems/day; no SD conversion available.",false,not RCT; no SD effect; non-standard outcome; active control,false,ai_vs_active,false,false,,difference-in-differences,ATT,observational
kim_etal_2025__est24,kim_etal_2025,"Kim et al., Average daily correctness rate",0.2,0.008,0.184,0.216,Math,Average daily correctness rate,immediate,12435,6469,18904,Post-solution AI tutor (GenAI activated after answer submission),Baseline digital practice (no AI chat),"DiD design. Raw effect +2.64pp on ~74% base (Table 2: 0.0264, SE 0.0011); d approximated via IQR-based SD 0.133, SE converted to the same units. Low-performing students benefit most.",false,not RCT; non-standard outcome; active control,false,ai_vs_active,false,false,,difference-in-differences,ATT,observational
kreijkes_etal_2026__est25,kreijkes_etal_2026,"Kreijkes et al., Literal retention (cued recall + MC)",-0.44,0.06,-0.557,-0.323,Language,Literal retention (cued recall + MC),delayed,184,184,184,LLM chatbot only,Note-taking only,"Within-subject (Group 1). Test 3 days post-learning. Negative = LLM worse than notes. SE/CI converted to SD units from raw B=1.92 (SE 0.26), Table 3.",false,active control,false,ai_vs_active,false,false,,mixed-effects regression (linear),ATE,field_rct
kreijkes_etal_2026__est26,kreijkes_etal_2026,"Kreijkes et al., Comprehension (bridging/knowledge-based",-0.38,0.068,-0.513,-0.247,Language,Comprehension (bridging/knowledge-based inferences),delayed,184,184,184,LLM chatbot only,Note-taking only,"Within-subject (Group 1). Test 3 days post-learning. SE/CI converted to SD units from raw B=0.95 (SE 0.17), Table 3.",false,active control,false,ai_vs_active,false,false,,mixed-effects regression (linear),ATE,field_rct
kumar_etal_2023__est27,kumar_etal_2023,"Kumar et al., Test-phase accuracy (SAT-style math, MCQ",,,,,Math,"Test-phase accuracy (SAT-style math, MCQ)",immediate,200,200,400,Try First + Customized GPT-4 explanation (pre-prompted with problem-solving strategies),Try First + correct answer only,"z=-4.20. Slightly larger effect than stock LLM. MTurk workers, not students. n_total=400 is this two-condition contrast; the study randomized 1,202 participants across six conditions. [Codex audit fix, 2026-07]",false,no SD effect; no SE/CI,false,ai_vs_active,false,false,,mixed-effects logistic regression,ATE,online_rct
kumar_etal_2023__est28,kumar_etal_2023,"Kumar et al., Test-phase accuracy (SAT-style math, MCQ",,,,,Math,"Test-phase accuracy (SAT-style math, MCQ)",immediate,200,200,400,Try First + Stock GPT-4 explanation with correct answer,Try First + correct answer only,"z=-3.46. Accuracy from figure (approximate). 2 test questions per participant. MTurk workers, not students. n_total=400 is this two-condition contrast; the study randomized 1,202 participants across six conditions. [Codex audit fix, 2026-07]",false,no SD effect; no SE/CI,false,ai_vs_active,false,false,,mixed-effects logistic regression,ATE,online_rct
learnlm_team_2025__est29,learnlm_team_2025,"LearnLM Team, Knowledge transfer (correct on first que",,,,,Science,Knowledge transfer (correct on first question of next topic),delayed,328,2385,2713,LearnLM tutoring (supervised by human tutor),Static pre-written hint,"Key learning outcome: transfer to new topic. ATE +10.1pp, 95% CI [+4.6, +15.4] (Table F.6; pp units). OR=1.6 [1.2, 2.0]. P(LearnLM>hint)>99.9%. Ns are session-level analyzed samples (Table F.4: LearnLM 328, static hints 2,385) from the two-level design (91 students static hints vs 74 tutoring; sessions randomized within the 74).",false,no SD effect; active control,false,ai_vs_active,false,false,,Bayesian logistic regression (predictive-margin contrast),ATE,field_rct
learnlm_team_2025__est30,learnlm_team_2025,"LearnLM Team, Mistake remediation (correct on 2nd atte",,,,,Science,Mistake remediation (correct on 2nd attempt),immediate,467,3301,3768,LearnLM tutoring (supervised by human tutor),Static pre-written hint,"Bayesian logistic regression. ATE +27.7pp, 95% CI [+24.6, +30.4] (pp units). OR=7.4 [5.1, 11.0]. Human tutor supervised LearnLM messages. Ns are session-level analyzed samples (Table F.1: LearnLM 467, static hints 3,301); 165 students in the trial overall.",false,no SD effect; non-standard outcome; active control,false,ai_vs_active,false,false,,Bayesian logistic regression (predictive-margin contrast),ATE,field_rct
learnlm_team_2025__est31,learnlm_team_2025,"LearnLM Team, Knowledge transfer (correct on first que",,,,,Science,Knowledge transfer (correct on first question of next topic),delayed,328,376,704,LearnLM tutoring (supervised by human tutor),Human tutor alone,"ATE +5.5pp over human tutoring on transfer, 95% CI [-1.4, +12.4] (pp units). OR=1.3 [0.9, 1.7]. P(LearnLM>human)=93.6%. Both arms within the 74 tutoring students (session-level randomization); Ns are analyzed sessions (Table F.4: LearnLM 328, human tutor 376).",false,no SD effect; active control,false,ai_vs_active,false,false,,Bayesian logistic regression (predictive-margin contrast),ATE,field_rct
lehmann_etal_2024__est32,lehmann_etal_2024,"Lehmann et al., Grade on subsequent coding questions (0-",,,,,Coding,Grade on subsequent coding questions (0-1 scale),delayed,,,113,Higher cumulative ChatGPT use (measured by text similarity),Lower cumulative ChatGPT use,"Study 1 (field). Continuous treatment. Raw FE coefficient -0.02 per unit of cumulative ChatGPT similarity (SE 0.00, p<0.001, Table 2). 6,594 student-question obs.",false,not RCT; no SD effect; non-standard outcome,false,ai_vs_bau,false,false,,two-way fixed effects (OLS),ITT,observational
lehmann_etal_2024__est33,lehmann_etal_2024,"Lehmann et al., Study 3",0.42,0.245,,,Coding,"Post-test score (Python programming, 20 coding questions)",immediate,38,31,69,Access to unrestricted ChatGPT (GPT-3.5) during learning phase; copy-paste enabled,No LLM access; copy-paste enabled,"Study 3 (replication with copy-paste). d~0.42 back-calculated from Table 6 means/SDs. Arm Ns 38/31 are not printed in Table 6; recovered from Table 15 covariate proportions cross-checked with Table 10's treated N=94 (the stored SE 0.245 reproduces only under this split). Marginally significant in t-test, null in regression. [2026-07 W. Erda verification round]",true,,false,ai_vs_bau,false,false,,"ANCOVA (OLS, pre-test control)",ITT,lab_rct
lehmann_etal_2024__est34,lehmann_etal_2024,"Lehmann et al., Topic understanding (post-test | learnin",-0.306,0.114,-0.53,-0.082,Coding,Topic understanding (post-test | learning phase progress),immediate,,,94,Copy-paste enabled (more substitutive LLM use),Copy-paste disabled (less substitutive LLM use),"Exploratory. Treated subjects only. Copy-paste as exogenous shifter of substitutive use. Raw coefficient -1.407 post-test questions (SE 0.525, p=0.009, Table 10 col 2); converted to SD units by the pooled post-test SD 4.6 across all four arms of Studies 2-3 (arm SDs 4.2/4.7/4.4/5.1, Ns 51/56/31/38; n-weighted pooled SD = 4.60). The treated-only post-test SD would be ~4.9. [provenance documented 2026-07, W. Erda round]",false,no SD effect,false,ai_design,false,false,,OLS (controls for learning-phase progress),other (substitutive-use effect),lab_rct
lehmann_etal_2024__est35,lehmann_etal_2024,"Lehmann et al., Grade on subsequent coding questions (0-",,,,,Coding,"Grade on subsequent coding questions (0-1 scale, IV)",delayed,,,113,Higher cumulative ChatGPT code similarity (substitutive use),Lower cumulative ChatGPT code similarity,"FE2SLS using ChatGPT service outages as IV. Raw IV coefficient -0.06 per unit of cumulative similarity (SE 0.02, p=0.002, Table 3). N=6,594 obs. Continuous treatment.",false,not RCT; no SD effect; non-standard outcome,false,ai_vs_bau,false,false,,"2SLS/IV (FE, ChatGPT-outage instrument)",LATE,observational
lehmann_etal_2024__est36,lehmann_etal_2024,"Lehmann et al., Study 2",0.25,0.194,,,Coding,"Post-test score (Python programming, 20 coding questions)",immediate,56,51,107,Access to unrestricted ChatGPT (GPT-3.5) during learning phase; no copy-paste,No LLM access; no copy-paste,Study 2. No copy-paste available (unintended). d~0.25 back-calculated from Table 4 means/SDs. Arm Ns 56/51 are not printed in Table 4; recovered from Table 15 covariate proportions cross-checked with Table 10's treated N=94. Not significant. [2026-07 W. Erda verification round],true,,false,ai_vs_bau,false,false,,"ANCOVA (OLS, pre-test control)",ITT,lab_rct
lira_etal_2025__est37,lira_etal_2025,"Lira et al., retention",0.41,0.057,,,Writing,"Writing quality (1-day follow-up, no AI)",delayed,,,1294,Practice with AI writing tool,Practice without AI writing tool,Study 2 follow-up. 87% retention. Effect persists at 1 day.,true,,false,ai_vs_bau,false,false,,ANCOVA,ATE,online_rct
lira_etal_2025__est38,lira_etal_2025,"Lira et al., Writing quality (test phase, no AI)",0.2,0.05,,,Writing,"Writing quality (test phase, no AI)",immediate,,,2997,Practice with AI writing tool,Practice with professional editor feedback,Study 3 (2026 version). AI beats 49 professional editors (avg 25 yrs experience).,false,active control,false,ai_vs_active,false,false,,ANCOVA,ATE,online_rct
lira_etal_2025__est39,lira_etal_2025,"Lira et al., Study 4 (example only)",0.36,0.056,,,Writing,"Writing quality (test phase, no AI)",immediate,679,672,2003,Shown AI-generated example only (no practice),Practice without AI writing tool,"Study 4 (2026 version; labeled Study 5 in the 2025 draft). Example-only as effective as practice with AI (d=0.03 difference). Mechanism: learning by example. Effect/SE from the test-phase writing-quality table, main GPT-4o spec (See-AI-example vs Practice-without-AI = .36, SE .056; Table S27 in the Sep-2025 draft = S29 in arXiv v4): the in-text d=.37 is rounded, and the previously stored SE .057 belonged to the adjacent contrast. Arm Ns 679/672 (balance table). [corrected 2026-07, W. Erda round]",true,,false,ai_vs_bau,false,false,,ANCOVA,ATE,online_rct
lira_etal_2025__est40,lira_etal_2025,"Lira et al., Study 2",0.38,0.054,,,Writing,"Writing quality (GPT-4o rated, test phase, no AI)",immediate,,,2238,Practice with AI writing tool,Practice without AI writing tool,Study 2. Test phase: writing without AI. Pre-registered.,true,,false,ai_vs_bau,false,false,,ANCOVA,ATE,online_rct
nie_etal_2025__est41,nie_etal_2025,"Nie et al., Exam participation rate",,,,,Coding,Exam participation rate,immediate,3581,2250,5831,Access to GPT-4 chat interface (advertisement + access),No access to GPT-4,"ITT. Only 14.2% of treatment group used GPT-4. Raw effect: -4.4pp exam participation (SE 1.34, 95% CI [-7.10, -1.82], Fig. 3b; pp units). Bonferroni-corrected p=0.020.",false,no SD effect; non-standard outcome,false,ai_vs_bau,false,false,,t-test (mean comparison),ITT,online_rct
nie_etal_2025__est42,nie_etal_2025,"Nie et al., Exam score (LATE, imputed for missingnes",0.4,,,,Coding,"Exam score (LATE, imputed for missingness)",immediate,510,,5831,"Used GPT-4 (adopters, LATE estimate)",Would-be adopters without access,"LATE for adopters (14.2% compliance), imputing for missingness. ES=0.40; raw LATE +6.86pp, 90% BCa CI [0.30, 14.13] (Table 2; pp units). Preferred estimate. Not significant after Bonferroni.",false,,false,ai_vs_bau,false,false,,"IV (LATE estimator, E2=E1/P(complier))",LATE,online_rct
vanzo_etal_2024__est43,vanzo_etal_2024,"Vanzo et al., Learning gain on MCQ test (24 items), po",0.251,,,,Language,"Learning gain on MCQ test (24 items), pooled",immediate,37,39,76,Interactive GPT-4 homework sessions,Standard homework submitted via online platform,Not significant. Pooled across 3rd and 5th year. One-sided t-test. ACL 2025 published version.,false,no SE/CI,false,ai_vs_bau,false,false,,t-test (mean comparison),ITT,field_rct
vanzo_etal_2024__est44,vanzo_etal_2024,"Vanzo et al., Learning gain on MCQ test (24 items), 3r",0.603,,,,Language,"Learning gain on MCQ test (24 items), 3rd year only",immediate,19,20,39,Interactive GPT-4 homework sessions (grammar exercises),Standard homework,"Significant (one-sided, p=0.044, ACL version). Objective/grammar homework type.",false,N = 39; no SE/CI,false,ai_vs_bau,false,true,Grade: Younger,t-test (mean comparison),ITT,field_rct
vanzo_etal_2024__est45,vanzo_etal_2024,"Vanzo et al., Learning gain on MCQ test (24 items), 5t",-0.004,,,,Language,"Learning gain on MCQ test (24 items), 5th year only",immediate,18,19,37,Interactive GPT-4 homework sessions (essay/literature questions),Standard homework,Essentially zero effect. Mismatch between essay homework and objective test.,false,N = 37; no SE/CI,false,ai_vs_bau,false,true,Grade: Older,t-test (mean comparison),ITT,field_rct
wang_etal_2025__est46,wang_etal_2025,"Wang et al., Exit ticket passed (binary) - low-rated",0.18,,,,Math,Exit ticket passed (binary) - low-rated tutor subgroup,immediate,,,,Tutor CoPilot (AI suggestions to low-rated tutors),"Business-as-usual (low-rated tutors, no AI)",Bottom tercile of tutor quality. Low-rated tutors + CoPilot = high-rated tutors without it.,false,N unknown; no SE/CI; non-standard outcome,false,ai_vs_bau,false,true,Tutor quality: Bottom tercile,"OLS (FE, clustered; treatment x tutor-rating interaction)",ITT,field_rct
wang_etal_2025__est47,wang_etal_2025,"Wang et al., Exit ticket passed (binary)",0.08,0.021,0.04,0.12,Math,Exit ticket passed (binary),immediate,386,396,4136,Tutor CoPilot (AI provides real-time suggestions to human tutors),Business-as-usual tutoring (no AI assistance for tutors),"AI assists the TUTOR, not student directly. Tutor-level randomization (782 tutors). 4,136 sessions. $20/tutor/year. Raw effect +4pp (SE 0.01, Table 2); SE converted to the same binary-outcome SD units as the effect.",false,non-standard outcome,false,ai_vs_bau,false,false,,"OLS (school x grade FE, clustered SE)",ITT,field_rct
wiles_etal_2024__est48,wiles_etal_2024,"Wiles et al., Post-experiment knowledge (without AI, 5",,,,,Coding,"Post-experiment knowledge (without AI, 5 questions)",immediate,,,,ChatGPT access + prompting training,Google/Stack Overflow training (no ChatGPT),"No consistent difference on 5 post-experiment knowledge questions without ChatGPT (two of five marginal at p<0.10, opposite signs). No learning retained. N varies by question: 253-573 (Table B7).",false,no SD effect; no SE/CI,false,ai_vs_active,false,false,,"OLS (treatment-dummy regression, robust SE)",ITT,field_rct
wiles_etal_2024__est49,wiles_etal_2024,"Wiles et al., Coding task score (with AI access)",,,,,Coding,Coding task score (with AI access),immediate,167,133,300,ChatGPT access + prompting training,Google/Stack Overflow training (no ChatGPT),"Raw ATE +0.490 on the benchmark-normalized coding score (SE 0.036, 95% CI [0.42, 0.56], Table B3); not SD units. Score normalized to data-scientist benchmark. Effect during AI use.",false,no SD effect,false,ai_vs_active,true,false,,"OLS (treatment-dummy regression, robust SE)",ITT,field_rct
